ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_93430	true	http://purl.obolibrary.org/obo/MONDO_0019693	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019693
http://www.orpha.net/ORDO/Orphanet_175	true	http://purl.obolibrary.org/obo/MONDO_0009595	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009595
http://www.orpha.net/ORDO/Orphanet_46059	true	http://purl.obolibrary.org/obo/MONDO_0011816	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011816
http://www.orpha.net/ORDO/Orphanet_1745	true	http://purl.obolibrary.org/obo/MONDO_0015769	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015769
http://www.orpha.net/ORDO/Orphanet_139406	true	http://purl.obolibrary.org/obo/MONDO_0012719	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0012719
http://www.orpha.net/ORDO/Orphanet_209193	true	http://purl.obolibrary.org/obo/MONDO_0016197	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016197
http://www.orpha.net/ORDO/Orphanet_93110	true	http://purl.obolibrary.org/obo/MONDO_0019640	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019640
http://www.orpha.net/ORDO/Orphanet_363417	true	http://purl.obolibrary.org/obo/MONDO_0011533	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011533
http://www.orpha.net/ORDO/Orphanet_36899	true	http://purl.obolibrary.org/obo/MONDO_0000903	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0000903
http://www.orpha.net/ORDO/Orphanet_221043	true	http://purl.obolibrary.org/obo/MONDO_0014310	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0014310
http://www.orpha.net/ORDO/Orphanet_329329	true	http://purl.obolibrary.org/obo/MONDO_0012462	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0012462
